id;paevakaja_id;nimi
914;380;Tuiman Ly
915;381;Eentalu Riina
916;381;Helme Sirje
917;382;Kallaste Harald
918;382;Lepik Klara
919;382;Keinast Heimar
920;382;Kett Zivert
921;382;Ruga Sulev
922;382;Jemmer Herbert
923;382;Tamleht Jaak
924;382;Laine Aare
925;383;Hansen Jüri
926;383;Sillart Aleksander
927;384;Rõžkov Nikolai
928;384;Prints Vello
929;384;Merisaar
930;384;Ott
931;384;Saul Bruno
932;384;Virkus Juhan
933;385;Veldermann Hubert
934;385;Ernesaks Gustav
935;385;Ristlaan Rein
936;386;Sammet Jaak
937;386;Kuuskemaa Jüri
938;387;Öpik Ilmar
939;388;Vasar-Murutar Kati
940;388;Eek Arvo
941;388;Lehiste Ilse
942;389;Sõgel Endel
943;389;Vende Kullo
944;389;Viik Kalevi
945;390;Veidenberg Ernst
946;390;Pao Bruno
947;391;Kuzmin Dmitri
948;391;Kuusberg Paul
949;392;Kivimäe Rein
950;392;Ploom Helve
951;393;Mikk Arne
952;394;Eentalu Riina
953;394;Serman Ita
954;394;Kuusik Tiit
955;394;Raa Age
956;394;Tirel Tõnis
957;394;Ladva Vello
958;394;Berends Erki
959;394;Trikkel Ivar
960;394;Järlik Rein
961;394;Valk Heinz
962;395;Eentalu Riina
963;395;Kuusik Tiit
964;395;Raa Age
965;395;Tirel Tõnis
966;395;Ladva Vello
967;395;Trikkel Ivar
968;396;Tšebrikov Viktor
969;397;Strikaitiene Valvi
970;398;Rüütel Arnold
971;398;Kiris Advig
972;399;Luuk Mare
973;399;Kalatšjan Alagatš
974;399;Tonto Antonina
975;400;Kaljuste Tõnu
976;400;Kaarma Jaak
977;401;Väljas Vaino
978;402;Leet Felix
979;402;Soosaar Mark
980;402;Trikkel Ivar
981;402;Kaasik Feliks
982;404;Aasmäe Hardo
983;404;Käbin Tiit
984;405;Peegel Juhan
985;406;Rüütel Arnold
986;406;Tõnurist Igor
987;406;Aassalu Heino
988;407;Saarniit Jaak
989;408;Väljas Vaino
990;409;Raidpere Vello
991;410;Serman Ita
992;410;Saarna Ain
993;410;Lõssenko Mihhail
994;410;Borodulin Anatoli
995;410;Mälk Raul
996;411;Saarna Ain
997;411;Tarazevitš Georgi
998;412;Aassalu Heino
999;412;Valgemäe Salme
1000;414;Veldermann Hubert
1001;414;Paal Gunnar
1002;414;Rüütel Arnold
1003;414;Loit Urmas
1004;414;Heidemann Anne
1005;414;Köögard Heino
1006;414;Kaldre Peeter
1007;414;Ligi Madis
1008;414;Kool Ott
1009;414;Kuusik Tiit
1010;414;Suuman Toomas
1011;414;Valter Hannes
1012;414;Pehk Enn
1013;415;Holm Vardo
1014;415;Hint Mati
1015;416;Veldermann Hubert
1016;416;Köörna Arno
1017;417;Vainikko Gennadi
1018;417;Jaaksoo Ülo
1019;418;Ruutsoo Rein
1020;419;Tarmisto Vello
1021;419;Lõugas Vello
1022;420;Moteika Kazimieras
1023;420;Tarmak Mart
1024;420;Savisaar Edgar
1025;421;Murel Raul
1026;421;Gussev Aleksandr
1027;422;Savisaar Edgar
1028;422;Öövel Andrus
1029;423;Saarna Ain
1030;423;Sillari Enn-Arno
1031;424;Veldermann Hubert
1032;424;Jaaksoo Ülo
1033;425;Hansen Jüri
1034;426;Savisaar Edgar
1035;427;Irjas Heino
1036;428;Irjas Heino
1037;429;Loit Urmas
1038;429;Vähi Tiit
1039;429;Riimaa Jüri
1040;429;Lipstok Andres
1041;430;Jeltsin Boriss
1042;431;Lott Mare
1043;431;Robert Kyra
1044;431;Kross Jaan
1045;431;Miller Voldemar
1046;432;Meri Lennart
1047;433;Aasmäe Hardo
1048;433;Arro Mati
1049;433;Metslaid Viivi
1050;434;Arro Mati
1051;434;Oidsalu Anti
1052;434;Rüütel Arnold
1053;435;Leimann Jaak
1054;435;Tamm Jaak
1055;435;Pilv Mehis
1056;436;Aleksius II
1057;437;Rabanne Paco
1058;438;Lepson Ants
1059;439;Kaljuste Tõnu
1060;440;Mälk Raul
1061;440;Rüütel Arnold
1062;440;Jeltsin Boriss
1063;441;Känd Leo
1064;442;Oidsalu Anti
1065;442;Ugand Peeter
1066;442;Liim Jüri
1067;443;Aare Juhan
1068;444;Soonurm Enno
1069;444;Laul Endel
1070;445;Quayle Dan
1071;445;Vähi Tiit
1072;446;Aho Esko
1073;446;Vähi Tiit
1074;447;Jaakson Ernst
1075;447;Kelam Tunne
